Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
1280,"1280.30480","Staphylococcus aureus strain HICF0221","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.11317","Staphylococcus aureus strain 3688STDY6125024","cefoxitin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26806258"
1280,"1280.30330","Staphylococcus aureus strain HICF0794","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30276","Staphylococcus aureus strain HICF0720","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.39456","Staphylococcus aureus AR-0990","cefoxitin","Resistant",,,,,,,,,"clsi",2018,,,,"Laboratory Method",,"31996449"
1280,"1280.39462","Staphylococcus aureus AR-0993","cefoxitin","Resistant",,,,,,,,,"clsi",2018,,,,"Laboratory Method",,"31996449"
1280,"1280.51828","Staphylococcus aureus 10-00410","cefoxitin","Susceptible",,,,,"Broth dilution",,,,"EUCAST",2018,,,,"Laboratory Method",,"33658988"
1280,"1280.11038","Staphylococcus aureus strain 3688STDY6124935","cefoxitin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26806258"
1280,"1280.51871","Staphylococcus aureus 15-01065","cefoxitin","Susceptible",,,,,,,,,"EUCAST",,,,,"Laboratory Method",,"28961857"
1280,"1280.29939","Staphylococcus aureus strain HICF0355","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30133","Staphylococcus aureus strain HICF0577","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30062","Staphylococcus aureus strain HICF0497","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.11704","Staphylococcus aureus strain 3688STDY6124823","cefoxitin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26806258"
1280,"1280.30189","Staphylococcus aureus strain HICF0630","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30270","Staphylococcus aureus strain HICF0733","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30069","Staphylococcus aureus strain HICF0512","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.11703","Staphylococcus aureus strain 3688STDY6125036","cefoxitin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26806258"
1280,"1280.51833","Staphylococcus aureus 08-00141","cefoxitin","Susceptible",,,,,"Broth dilution",,,,"EUCAST",2018,,,,"Laboratory Method",,"33658988"
1280,"1280.30177","Staphylococcus aureus strain HICF0619","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30004","Staphylococcus aureus strain HICF0421","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.29816","Staphylococcus aureus strain HICF0187","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.51779","Staphylococcus aureus 14-00753","cefoxitin","Susceptible",,,,,"Broth dilution",,,,"EUCAST",2018,,,,"Laboratory Method",,"33658988"
1280,"1280.30454","Staphylococcus aureus strain HICF0948","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.11349","Staphylococcus aureus strain 3688STDY6124984","cefoxitin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26806258"
1280,"1280.51766","Staphylococcus aureus 14-03706","cefoxitin","Susceptible",,,,,,,,,"EUCAST",,,,,"Laboratory Method",,"28961857"
1280,"1280.11151","Staphylococcus aureus strain 3688STDY6125107","cefoxitin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26806258"
1280,"1280.30175","Staphylococcus aureus strain HICF0628","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.51777","Staphylococcus aureus 14-03170","cefoxitin","Susceptible",,,,,,,,,"EUCAST",,,,,"Laboratory Method",,"28961857"
1280,"1280.11287","Staphylococcus aureus strain 3688STDY6124825","cefoxitin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26806258"
1280,"1280.30046","Staphylococcus aureus strain HICF0463","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.51872","Staphylococcus aureus 14-02151","cefoxitin","Resistant",,,,,"Broth dilution",,,,"EUCAST",2018,,,,"Laboratory Method",,"33658988"
1280,"1280.29799","Staphylococcus aureus strain HICF0172","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.51904","Staphylococcus aureus 12-03222","cefoxitin","Susceptible",,,,,"Broth dilution",,,,"EUCAST",2018,,,,"Laboratory Method",,"33658988"
1280,"1280.30414","Staphylococcus aureus strain HICF0908","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.15939","Staphylococcus aureus strain 0345-2701-2015","cefoxitin","Susceptible","==2","=","2","mg/L","Broth dilution",,"BD Phoenix","BD","EUCAST",,,,,"Laboratory Method",,
1280,"1280.51773","Staphylococcus aureus 13-00983","cefoxitin","Susceptible",,,,,"Broth dilution",,,,"EUCAST",2018,,,,"Laboratory Method",,"33658988"
1280,"1280.11167","Staphylococcus aureus strain 3688STDY6124893","cefoxitin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26806258"
1280,"1280.29790","Staphylococcus aureus strain HICF0147","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.39454","Staphylococcus aureus AR-0985","cefoxitin","Resistant",,,,,,,,,"clsi",2018,,,,"Laboratory Method",,"31996449"
1280,"1280.11241","Staphylococcus aureus strain 3688STDY6124901","cefoxitin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26806258"
1280,"1280.29792","Staphylococcus aureus strain HICF0162","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30028","Staphylococcus aureus strain HICF0460","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.51856","Staphylococcus aureus 10-01970","cefoxitin","Susceptible",,,,,,,,,"EUCAST",,,,,"Laboratory Method",,"28961857"
1280,"1280.30388","Staphylococcus aureus strain HICF0879","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.11331","Staphylococcus aureus strain 3688STDY6125009","cefoxitin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26806258"
1280,"1280.30317","Staphylococcus aureus strain HICF0784","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.11196","Staphylococcus aureus strain 3688STDY6124987","cefoxitin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26806258"
1280,"1280.51740","Staphylococcus aureus 13-01132","cefoxitin","Susceptible",,,,,"Broth dilution",,,,"EUCAST",2018,,,,"Laboratory Method",,"33658988"
1280,"1280.51741","Staphylococcus aureus 13-02671","cefoxitin","Susceptible",,,,,"Broth dilution",,,,"EUCAST",2018,,,,"Laboratory Method",,"33658988"
1280,"1280.51883","Staphylococcus aureus 98-01155-2","cefoxitin","Susceptible",,,,,"Broth dilution",,,,"EUCAST",2018,,,,"Laboratory Method",,"33658988"
1280,"1280.30309","Staphylococcus aureus strain HICF0775","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30066","Staphylococcus aureus strain HICF0495","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.51814","Staphylococcus aureus 08-02052","cefoxitin","Susceptible",,,,,"Broth dilution",,,,"EUCAST",2018,,,,"Laboratory Method",,"33658988"
1280,"1280.52207","Staphylococcus aureus WUSa_oxa_BOR029","cefoxitin","Susceptible","24",,"24","mm","Disk diffusion",,,,"CLSI",2020,,,,"Laboratory Method",,"35038924"
1280,"1280.51829","Staphylococcus aureus 13-00543","cefoxitin","Susceptible",,,,,,,,,"EUCAST",,,,,"Laboratory Method",,"28961857"
1280,"1280.51836","Staphylococcus aureus 13-00373","cefoxitin","Susceptible",,,,,,,,,"EUCAST",,,,,"Laboratory Method",,"28961857"
1280,"1280.29968","Staphylococcus aureus strain HICF0375","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30248","Staphylococcus aureus strain HICF0714","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.51863","Staphylococcus aureus 12-01740","cefoxitin","Susceptible",,,,,"Broth dilution",,,,"EUCAST",2018,,,,"Laboratory Method",,"33658988"
1280,"1280.30103","Staphylococcus aureus strain HICF0549","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30425","Staphylococcus aureus strain HICF0925","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.39460","Staphylococcus aureus AR-0994","cefoxitin","Resistant",,,,,,,,,"clsi",2018,,,,"Laboratory Method",,"31996449"
1280,"1280.29774","Staphylococcus aureus strain HICF0121","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30369","Staphylococcus aureus strain HICF0856","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30300","Staphylococcus aureus strain HICF0772","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.11183","Staphylococcus aureus strain 3688STDY6124816","cefoxitin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26806258"
1280,"1280.11169","Staphylococcus aureus strain 3688STDY6124891","cefoxitin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26806258"
1280,"1280.39468","Staphylococcus aureus AR-1003","cefoxitin","Susceptible",,,,,,,,,"clsi",2018,,,,"Laboratory Method",,"31996449"
1280,"1280.30370","Staphylococcus aureus strain HICF0852","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30354","Staphylococcus aureus strain HICF0832","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30424","Staphylococcus aureus strain HICF0927","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.39446","Staphylococcus aureus AR-0978","cefoxitin","Resistant",,,,,,,,,"clsi",2018,,,,"Laboratory Method",,"31996449"
1280,"1280.11714","Staphylococcus aureus strain 3688STDY6124914","cefoxitin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26806258"
1280,"1280.51850","Staphylococcus aureus 12-02354","cefoxitin","Susceptible",,,,,"Broth dilution",,,,"EUCAST",2018,,,,"Laboratory Method",,"33658988"
1280,"1280.29985","Staphylococcus aureus strain HICF0399","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30371","Staphylococcus aureus strain HICF0851","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.51829","Staphylococcus aureus 13-00543","cefoxitin","Susceptible",,,,,"Broth dilution",,,,"EUCAST",2018,,,,"Laboratory Method",,"33658988"
1280,"1280.30429","Staphylococcus aureus strain HICF0923","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.29778","Staphylococcus aureus strain HICF0112","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.29940","Staphylococcus aureus strain HICF0353","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30020","Staphylococcus aureus strain HICF0439","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.29700","Staphylococcus aureus strain HICF0010","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.11205","Staphylococcus aureus strain 3688STDY6125101","cefoxitin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26806258"
1280,"1280.30406","Staphylococcus aureus strain HICF0890","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30109","Staphylococcus aureus strain HICF0548","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.29702","Staphylococcus aureus strain HICF0025","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30077","Staphylococcus aureus strain HICF0517","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30198","Staphylococcus aureus strain HICF0646","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30178","Staphylococcus aureus strain HICF0620","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30168","Staphylococcus aureus strain HICF0624","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.29794","Staphylococcus aureus strain HICF0164","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.11168","Staphylococcus aureus strain 3688STDY6124892","cefoxitin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26806258"
1280,"1280.30432","Staphylococcus aureus strain HICF0941","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.29811","Staphylococcus aureus strain HICF0183","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.16773","Staphylococcus aureus strain YH030","cefoxitin","Resistant",,,,,"Agar dilution",,,"Oxoid","EUCAST",2017,,,,"Laboratory Method",,"29377579"
1280,"1280.52171","Staphylococcus aureus WUSa_oxa_BOR301","cefoxitin","Susceptible","24",,"24","mm","Disk diffusion",,,,"CLSI",2020,,,,"Laboratory Method",,"35038924"
1280,"1280.11245","Staphylococcus aureus strain 3688STDY6124895","cefoxitin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26806258"
1280,"1280.11346","Staphylococcus aureus strain 3688STDY6124962","cefoxitin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26806258"
1280,"1280.51752","Staphylococcus aureus 13-02338","cefoxitin","Susceptible",,,,,,,,,"EUCAST",,,,,"Laboratory Method",,"28961857"
1280,"1280.11709","Staphylococcus aureus strain 3688STDY6124890","cefoxitin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26806258"
1280,"1280.30353","Staphylococcus aureus strain HICF0827","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30391","Staphylococcus aureus strain HICF0885","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30090","Staphylococcus aureus strain HICF0521","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30413","Staphylococcus aureus strain HICF0910","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.29781","Staphylococcus aureus strain HICF0109","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.29712","Staphylococcus aureus strain HICF0042","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.11357","Staphylococcus aureus strain 3688STDY6124976","cefoxitin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26806258"
1280,"1280.52213","Staphylococcus aureus WUSa_oxa_BOR020","cefoxitin","Susceptible","25",,"25","mm","Disk diffusion",,,,"CLSI",2020,,,,"Laboratory Method",,"35038924"
1280,"1280.52162","Staphylococcus aureus WUSa_oxa_MS312","cefoxitin","Susceptible","24",,"24","mm","Disk diffusion",,,,"CLSI",2020,,,,"Laboratory Method",,"35038924"
1280,"1280.30286","Staphylococcus aureus strain HICF0743","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.29844","Staphylococcus aureus strain HICF0215","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.11230","Staphylococcus aureus strain 3688STDY6124920","cefoxitin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26806258"
1280,"1280.30040","Staphylococcus aureus strain HICF0465","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.11050","Staphylococcus aureus strain 3688STDY6124879","cefoxitin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26806258"
1280,"1280.11208","Staphylococcus aureus strain 3688STDY6125050","cefoxitin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26806258"
1280,"1280.30134","Staphylococcus aureus strain HICF0580","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30206","Staphylococcus aureus strain HICF0660","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30305","Staphylococcus aureus strain HICF0771","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30045","Staphylococcus aureus strain HICF0462","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.29928","Staphylococcus aureus strain HICF0332","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30142","Staphylococcus aureus strain HICF0583","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.11723","Staphylococcus aureus strain 3688STDY6124887","cefoxitin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26806258"
1280,"1280.51923","Staphylococcus aureus 12-02028","cefoxitin","Susceptible",,,,,"Broth dilution",,,,"EUCAST",2018,,,,"Laboratory Method",,"33658988"
1280,"1280.16776","Staphylococcus aureus strain YF037","cefoxitin","Resistant",,,,,"Agar dilution",,,"Oxoid","EUCAST",2017,,,,"Laboratory Method",,"29377579"
1280,"1280.26090","Staphylococcus aureus ERR124433","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"British Society for Antimicrobial Chemotherapy (BSAC)",2011,,,,"Laboratory Method",,"23158674"
